Nombre;Municipio;Tipo de reserva;Superficie
Barranca Norte;BARADERO;Reserva natural privada de objetivo botánico;117
El Morejón;CAMPANA;Reserva natural privada;135
Paitití;GENERAL PUEYRREDÓN;Reserva Natural Privada;220
El Destino;MAGDALENA;Reserva Natural Privada de Objetivo Educativo y Botánico;2500
Nahuel Ruca;MAR CHIQUITA;Reserva Natural Privada;390
Arroyo Durazno;MARCOS PAZ;Reserva natural privada de objetivo educativo;514
La Amanda;PUNTA INDIO;Reserva natural privada;5,7
Punta Indio;PUNTA INDIO;Reserva natural privada;700
Las Piedras;SAAVEDRA;Reserva Natural Privada;400
Santuario natural del Cauquén Colorado;SAN CAYETANO;Reserva privada;100
Che Roga;SAN FERNANDO;Reserva Natural Privada;100
Sendero Pampa;TANDIL;Reserva Natural Privada;6
Sierras Grandes;TORNQUIST;Reserva natural privada educativa y botánica;2742
Delta Terra;TIGRE;Paisaje protegido;40
Achalay;TIGRE;Reserva natural;150
